variable	var_label	var_type	reference_row	row_type	header_row	N_obs	N_event	N	coefficients_type	coefficients_label	Criteria	term	var_class	var_nlevels	contrasts	contrasts_type	n_obs	n_event	exposure	Hazard_Ratio	std.error	statistic	nevent	conf.low	conf.high	ci	p.value	Concordance	Likelihood_Ratio_Pval	Wald_Test_Pval	Logrank_Test_Pval	Likelihood_Ratio_AdjPval_BH	Wald_Test_AdjPval_BH	Logrank_Test_AdjPval_BH
CD8Tcells.BIN	CD8Tcells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	CD8Tcells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	72	52,647	0.80	0.168	-1.35	144	0.57	1.11	0.57, 1.11	0.2	0.546	0.2	0.2	0.2	0.2	0.2	0.2
Interferon.19272155.BIN	Interferon.19272155.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	Interferon.19272155.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	64	56,484	0.64	0.169	-2.62	144	0.46	0.89	0.46, 0.89	0.009	0.55	0.009	0.009	0.008	0.009	0.009	0.009
Tcell.receptors.score.BIN	Tcell.receptors.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	Tcell.receptors.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	67	55,150	0.66	0.170	-2.43	144	0.47	0.92	0.47, 0.92	0.015	0.56	0.01	0.01	0.01	0.01	0.01	0.01
Cytotoxiccells.BIN	Cytotoxiccells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	Cytotoxiccells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	69	54,936	0.69	0.168	-2.22	144	0.50	0.96	0.50, 0.96	0.026	0.567	0.03	0.03	0.03	0.03	0.03	0.03
IGG.Cluster.21214954.BIN	IGG.Cluster.21214954.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	IGG.Cluster.21214954.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	66	57,068	0.63	0.169	-2.72	144	0.45	0.88	0.45, 0.88	0.007	0.565	0.006	0.007	0.006	0.007	0.007	0.007
TAMsurr.score.BIN	TAMsurr.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	TAMsurr.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	61	57,786	0.53	0.171	-3.74	144	0.38	0.74	0.38, 0.74	<0.001	0.584	2e-04	2e-04	1e-04	2e-04	2e-04	2e-04
TGFB.PCA.17349583.BIN	TGFB.PCA.17349583.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	TGFB.PCA.17349583.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	64	53,450	0.64	0.169	-2.62	144	0.46	0.89	0.46, 0.89	0.009	0.554	0.008	0.009	0.008	0.009	0.009	0.009
Module4.TcellBcell.score.BIN	Module4.TcellBcell.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	Module4.TcellBcell.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	57,439	0.60	0.170	-2.99	144	0.43	0.84	0.43, 0.84	0.003	0.572	0.003	0.003	0.003	0.003	0.003	0.003
LIexpression.score.BIN	LIexpression.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	LIexpression.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	56,207	0.62	0.169	-2.78	144	0.45	0.87	0.45, 0.87	0.005	0.564	0.005	0.005	0.005	0.005	0.005	0.005
IL8.21978456.BIN	IL8.21978456.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	IL8.21978456.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	62	49,539	0.69	0.169	-2.22	144	0.49	0.96	0.49, 0.96	0.026	0.538	0.03	0.03	0.03	0.03	0.03	0.03
IL13.score.21050467.BIN	IL13.score.21050467.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	IL13.score.21050467.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	70	51,009	0.83	0.167	-1.09	144	0.60	1.16	0.60, 1.16	0.3	0.523	0.3	0.3	0.3	0.3	0.3	0.3
NKCD56dimcells.BIN	NKCD56dimcells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	NKCD56dimcells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	66	56,935	0.65	0.169	-2.57	144	0.47	0.90	0.47, 0.90	0.010	0.56	0.01	0.01	0.01	0.01	0.01	0.01
CD8A.BIN	CD8A.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	CD8A.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	63	56,833	0.59	0.171	-3.13	144	0.42	0.82	0.42, 0.82	0.002	0.566	0.002	0.002	0.002	0.002	0.002	0.002
Tfhcells.BIN	Tfhcells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	Tfhcells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	66	53,623	0.70	0.169	-2.09	144	0.50	0.98	0.50, 0.98	0.036	0.545	0.04	0.04	0.04	0.04	0.04	0.04
DAP12.data.BIN	DAP12.data.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	DAP12.data.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	57	57,039	0.49	0.173	-4.17	144	0.35	0.68	0.35, 0.68	<0.001	0.583	2e-05	3e-05	2e-05	3e-05	3e-05	3e-05
Mastcells.BIN	Mastcells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	Mastcells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	68	47,717	0.81	0.167	-1.23	144	0.59	1.13	0.59, 1.13	0.2	0.526	0.2	0.2	0.2	0.2	0.2	0.2
TcClassII.score.BIN	TcClassII.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	TcClassII.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	64	57,136	0.58	0.170	-3.26	144	0.41	0.80	0.41, 0.80	0.001	0.58	0.001	0.001	0.001	0.001	0.001	0.001
Buck14.score.BIN	Buck14.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	Buck14.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	68	48,380	0.89	0.167	-0.724	144	0.64	1.23	0.64, 1.23	0.5	0.503	0.5	0.5	0.5	0.5	0.5	0.5
PDL1.data.BIN	PDL1.data.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	PDL1.data.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	60	57,827	0.50	0.171	-4.06	144	0.36	0.70	0.36, 0.70	<0.001	0.59	4e-05	5e-05	4e-05	5e-05	5e-05	5e-05
Interferon.Cluster.21214954.BIN	Interferon.Cluster.21214954.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	Interferon.Cluster.21214954.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	67	54,353	0.72	0.168	-1.98	144	0.52	1.00	0.52, 1.00	0.048	0.544	0.05	0.05	0.05	0.05	0.05	0.05
MHC2.21978456.BIN	MHC2.21978456.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	MHC2.21978456.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	67	52,930	0.70	0.168	-2.11	144	0.51	0.98	0.51, 0.98	0.035	0.552	0.03	0.03	0.03	0.03	0.03	0.03
PD1.PDL1.score.BIN	PD1.PDL1.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	PD1.PDL1.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	66	55,257	0.64	0.169	-2.68	144	0.46	0.89	0.46, 0.89	0.007	0.568	0.007	0.007	0.007	0.007	0.007	0.007
ICS5.score.BIN	ICS5.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	ICS5.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	62	59,429	0.50	0.172	-4.00	144	0.36	0.70	0.36, 0.70	<0.001	0.596	5e-05	6e-05	5e-05	6e-05	6e-05	6e-05
Tcells.BIN	Tcells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	Tcells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	70	54,780	0.72	0.168	-1.92	144	0.52	1.01	0.52, 1.01	0.054	0.556	0.05	0.05	0.05	0.05	0.05	0.05
G.HLA.DPA1.BIN	G.HLA.DPA1.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	G.HLA.DPA1.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	55,111	0.62	0.169	-2.80	144	0.45	0.87	0.45, 0.87	0.005	0.569	0.005	0.005	0.005	0.005	0.005	0.005
IL2.score.21050467.BIN	IL2.score.21050467.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	IL2.score.21050467.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	55,328	0.63	0.169	-2.75	144	0.45	0.87	0.45, 0.87	0.006	0.567	0.006	0.006	0.005	0.006	0.006	0.006
T.cell.PCA.16704732.BIN	T.cell.PCA.16704732.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	T.cell.PCA.16704732.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	55,754	0.62	0.169	-2.83	144	0.44	0.86	0.44, 0.86	0.005	0.569	0.005	0.005	0.004	0.005	0.005	0.005
Module11.Prolif.score.BIN	Module11.Prolif.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	Module11.Prolif.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	66	45,389	0.83	0.167	-1.11	144	0.60	1.15	0.60, 1.15	0.3	0.513	0.3	0.3	0.3	0.3	0.3	0.3
ICR.ACT.SCORE.BIN	ICR.ACT.SCORE.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	ICR.ACT.SCORE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	56,755	0.61	0.171	-2.93	144	0.43	0.85	0.43, 0.85	0.003	0.568	0.003	0.003	0.003	0.003	0.003	0.003
MCD3.CD8.21214954.BIN	MCD3.CD8.21214954.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	MCD3.CD8.21214954.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	67	45,132	0.84	0.167	-1.06	144	0.60	1.16	0.60, 1.16	0.3	0.523	0.3	0.3	0.3	0.3	0.3	0.3
PD1.data.BIN	PD1.data.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	High_AboveMedian	PD1.data.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	72	51,929	0.85	0.167	-0.938	144	0.62	1.19	0.62, 1.19	0.3	0.53	0.3	0.3	0.3	0.3	0.3	0.3
