variable	Hazard_Ratio	ci	p.value	Concordance	Likelihood_Ratio_Pval	Wald_Test_Pval	Logrank_Test_Pval	Likelihood_Ratio_AdjPval_BH	Wald_Test_AdjPval_BH	Logrank_Test_AdjPval_BH	Criteria	var_label	var_type	reference_row	row_type	header_row	N_obs	N_event	N	coefficients_type	coefficients_label	term	var_class	var_nlevels	contrasts	contrasts_type	n_obs	n_event	exposure	std.error	statistic	nevent	conf.low	conf.high
Precursor.Tex.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol	0.58	0.41, 0.81	0.001	0.575	0.001	0.001	0.001	0.001	0.001	0.001	High_AboveMedian	Precursor.Tex.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Precursor.Tex.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	63	55,869	0.170	-3.23	144	0.41	0.81
TcClassII.score	0.58	0.41, 0.80	0.001	0.58	0.001	0.001	0.001	0.001	0.001	0.001	High_AboveMedian	TcClassII.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	TcClassII.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	64	57,136	0.170	-3.26	144	0.41	0.80
IL4.score.21050467	0.58	0.41, 0.81	0.001	0.569	0.001	0.001	0.001	0.001	0.001	0.001	High_AboveMedian	IL4.score.21050467.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	IL4.score.21050467.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	62	55,454	0.171	-3.21	144	0.41	0.81
G.SLAMF6	0.58	0.42, 0.81	0.001	0.569	0.001	0.001	0.001	0.001	0.001	0.001	High_AboveMedian	G.SLAMF6.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	G.SLAMF6.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	63	57,378	0.170	-3.18	144	0.42	0.81
CD8.CD68.ratio	0.58	0.42, 0.81	0.001	0.574	0.001	0.001	0.001	0.001	0.001	0.001	High_AboveMedian	CD8.CD68.ratio.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	CD8.CD68.ratio.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	64	57,024	0.171	-3.18	144	0.42	0.81
Precursor.Tex.inLCMV.Cheng.34270940.Immunity.SupplTableOf.Yao.NatImmunol	0.59	0.43, 0.83	0.002	0.572	0.002	0.002	0.002	0.002	0.002	0.002	High_AboveMedian	Precursor.Tex.inLCMV.Cheng.34270940.Immunity.SupplTableOf.Yao.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Precursor.Tex.inLCMV.Cheng.34270940.Immunity.SupplTableOf.Yao.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	63	55,062	0.169	-3.08	144	0.43	0.83
Immune.cell.Cluster.21214954	0.59	0.43, 0.83	0.002	0.571	0.002	0.002	0.002	0.002	0.002	0.002	High_AboveMedian	Immune.cell.Cluster.21214954.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Immune.cell.Cluster.21214954.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	64	57,093	0.170	-3.07	144	0.43	0.83
ICR.SCORE	0.58	0.42, 0.82	0.002	0.577	0.002	0.002	0.001	0.002	0.002	0.002	High_AboveMedian	ICR.SCORE.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	ICR.SCORE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	57,325	0.171	-3.15	144	0.42	0.82
CD8A	0.59	0.42, 0.82	0.002	0.566	0.002	0.002	0.002	0.002	0.002	0.002	High_AboveMedian	CD8A.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	CD8A.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	63	56,833	0.171	-3.13	144	0.42	0.82
Chemokine12.score	0.59	0.42, 0.82	0.002	0.583	0.002	0.002	0.001	0.002	0.002	0.002	High_AboveMedian	Chemokine12.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Chemokine12.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	56,832	0.169	-3.16	144	0.42	0.82
aDC	0.59	0.42, 0.83	0.002	0.572	0.002	0.002	0.002	0.002	0.002	0.002	High_AboveMedian	aDC.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	aDC.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	58,371	0.170	-3.08	144	0.42	0.83
CTLA4.data	0.59	0.42, 0.82	0.002	0.569	0.002	0.002	0.001	0.002	0.002	0.002	High_AboveMedian	CTLA4.data.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	CTLA4.data.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	62	55,135	0.170	-3.14	144	0.42	0.82
APM1	0.60	0.43, 0.83	0.002	0.571	0.002	0.002	0.002	0.002	0.002	0.002	High_AboveMedian	APM1.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	APM1.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	64	55,382	0.169	-3.04	144	0.43	0.83
TRMeffector.Anadon.35427494.SupplTable4	0.60	0.43, 0.84	0.003	0.568	0.002	0.003	0.002	0.003	0.003	0.003	High_AboveMedian	TRMeffector.Anadon.35427494.SupplTable4.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	TRMeffector.Anadon.35427494.SupplTable4.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	64	57,066	0.170	-3.01	144	0.43	0.84
Module4.TcellBcell.score	0.60	0.43, 0.84	0.003	0.572	0.003	0.003	0.003	0.003	0.003	0.003	High_AboveMedian	Module4.TcellBcell.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Module4.TcellBcell.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	57,439	0.170	-2.99	144	0.43	0.84
ICR.ACT.SCORE	0.61	0.43, 0.85	0.003	0.568	0.003	0.003	0.003	0.003	0.003	0.003	High_AboveMedian	ICR.ACT.SCORE.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	ICR.ACT.SCORE.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	56,755	0.171	-2.93	144	0.43	0.85
CD103neg.mean.25446897	0.61	0.44, 0.84	0.003	0.572	0.003	0.003	0.003	0.003	0.003	0.003	High_AboveMedian	CD103neg.mean.25446897.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	CD103neg.mean.25446897.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	64	55,063	0.169	-2.96	144	0.44	0.84
Terminal.Tex.inLCMV.Cheng.34270940.Immunity.SupplTableOf.Yao.NatImmunol	0.61	0.44, 0.86	0.004	0.553	0.004	0.004	0.004	0.004	0.004	0.004	High_AboveMedian	Terminal.Tex.inLCMV.Cheng.34270940.Immunity.SupplTableOf.Yao.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Terminal.Tex.inLCMV.Cheng.34270940.Immunity.SupplTableOf.Yao.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	60	50,603	0.169	-2.88	144	0.44	0.86
LYM	0.62	0.44, 0.86	0.004	0.571	0.004	0.004	0.004	0.004	0.004	0.004	High_AboveMedian	LYM.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	LYM.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	55,989	0.169	-2.86	144	0.44	0.86
Minterferon.Cluster.21214954	0.61	0.44, 0.86	0.004	0.565	0.004	0.004	0.004	0.004	0.004	0.004	High_AboveMedian	Minterferon.Cluster.21214954.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Minterferon.Cluster.21214954.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	57,426	0.170	-2.87	144	0.44	0.86
Tgdcells	1.63	1.17, 2.27	0.004	0.562	0.004	0.004	0.004	0.004	0.004	0.004	High_AboveMedian	Tgdcells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Tgdcells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	81	35,944	0.169	2.88	144	1.17	2.27
Tcell.21978456	0.62	0.44, 0.86	0.004	0.57	0.004	0.004	0.004	0.004	0.004	0.004	High_AboveMedian	Tcell.21978456.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Tcell.21978456.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	56,364	0.169	-2.85	144	0.44	0.86
IFIT3	0.62	0.45, 0.87	0.005	0.55	0.005	0.005	0.005	0.005	0.005	0.005	High_AboveMedian	IFIT3.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	IFIT3.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	62	55,088	0.170	-2.78	144	0.45	0.87
LIexpression.score	0.62	0.45, 0.87	0.005	0.564	0.005	0.005	0.005	0.005	0.005	0.005	High_AboveMedian	LIexpression.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	LIexpression.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	56,207	0.169	-2.78	144	0.45	0.87
G.HLA.DPA1	0.62	0.45, 0.87	0.005	0.569	0.005	0.005	0.005	0.005	0.005	0.005	High_AboveMedian	G.HLA.DPA1.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	G.HLA.DPA1.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	55,111	0.169	-2.80	144	0.45	0.87
T.cell.PCA.16704732	0.62	0.44, 0.86	0.005	0.569	0.005	0.005	0.004	0.005	0.005	0.005	High_AboveMedian	T.cell.PCA.16704732.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	T.cell.PCA.16704732.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	55,754	0.169	-2.83	144	0.44	0.86
Bcells	0.62	0.45, 0.87	0.005	0.556	0.005	0.005	0.005	0.005	0.005	0.005	High_AboveMedian	Bcells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Bcells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	62	52,999	0.169	-2.79	144	0.45	0.87
Th2cells	0.62	0.45, 0.87	0.005	0.545	0.005	0.005	0.005	0.005	0.005	0.005	High_AboveMedian	Th2cells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Th2cells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	59	50,150	0.170	-2.80	144	0.45	0.87
IL2.score.21050467	0.63	0.45, 0.87	0.006	0.567	0.006	0.006	0.005	0.006	0.006	0.006	High_AboveMedian	IL2.score.21050467.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	IL2.score.21050467.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	55,328	0.169	-2.75	144	0.45	0.87
G.GIMAP4	0.63	0.45, 0.87	0.006	0.57	0.006	0.006	0.005	0.006	0.006	0.006	High_AboveMedian	G.GIMAP4.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	G.GIMAP4.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	67	57,242	0.169	-2.76	144	0.45	0.87
Terminal.Tex.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol	0.63	0.45, 0.88	0.007	0.558	0.007	0.007	0.006	0.007	0.007	0.007	High_AboveMedian	Terminal.Tex.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Terminal.Tex.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Miller.NatImmunol.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	55,737	0.170	-2.71	144	0.45	0.88
IGG.Cluster.21214954	0.63	0.45, 0.88	0.007	0.565	0.006	0.007	0.006	0.007	0.007	0.007	High_AboveMedian	IGG.Cluster.21214954.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	IGG.Cluster.21214954.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	66	57,068	0.169	-2.72	144	0.45	0.88
PD1.PDL1.score	0.64	0.46, 0.89	0.007	0.568	0.007	0.007	0.007	0.007	0.007	0.007	High_AboveMedian	PD1.PDL1.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	PD1.PDL1.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	66	55,257	0.169	-2.68	144	0.46	0.89
B.cell.PCA.16704732	0.64	0.46, 0.89	0.007	0.562	0.007	0.007	0.007	0.007	0.007	0.007	High_AboveMedian	B.cell.PCA.16704732.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	B.cell.PCA.16704732.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	55,002	0.169	-2.68	144	0.46	0.89
G.CD3E	0.64	0.46, 0.89	0.008	0.561	0.008	0.008	0.008	0.008	0.008	0.008	High_AboveMedian	G.CD3E.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	G.CD3E.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	66	56,316	0.170	-2.64	144	0.46	0.89
CD8.PCA.16704732	0.64	0.46, 0.89	0.008	0.557	0.008	0.008	0.008	0.008	0.008	0.008	High_AboveMedian	CD8.PCA.16704732.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	CD8.PCA.16704732.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	65	55,424	0.170	-2.64	144	0.46	0.89
Interferon.19272155	0.64	0.46, 0.89	0.009	0.55	0.009	0.009	0.008	0.009	0.009	0.009	High_AboveMedian	Interferon.19272155.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Interferon.19272155.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	64	56,484	0.169	-2.62	144	0.46	0.89
TGFB.PCA.17349583	0.64	0.46, 0.89	0.009	0.554	0.008	0.009	0.008	0.009	0.009	0.009	High_AboveMedian	TGFB.PCA.17349583.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	TGFB.PCA.17349583.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	64	53,450	0.169	-2.62	144	0.46	0.89
IFNG.score.21050467	0.65	0.46, 0.90	0.009	0.565	0.009	0.009	0.009	0.009	0.009	0.009	High_AboveMedian	IFNG.score.21050467.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	IFNG.score.21050467.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	66	55,141	0.169	-2.59	144	0.46	0.90
G.CYTH4	0.64	0.46, 0.89	0.009	0.567	0.008	0.009	0.008	0.009	0.009	0.009	High_AboveMedian	G.CYTH4.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	G.CYTH4.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	66	55,455	0.169	-2.63	144	0.46	0.89
NKCD56dimcells	0.65	0.47, 0.90	0.01	0.56	0.01	0.01	0.01	0.01	0.01	0.01	High_AboveMedian	NKCD56dimcells.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	NKCD56dimcells.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	66	56,935	0.169	-2.57	144	0.47	0.90
LCK.19272155	0.65	0.46, 0.90	0.01	0.561	0.01	0.01	0.01	0.01	0.01	0.01	High_AboveMedian	LCK.19272155.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	LCK.19272155.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	66	56,271	0.169	-2.57	144	0.46	0.90
CD68	0.65	0.47, 0.90	0.01	0.563	0.01	0.01	0.01	0.01	0.01	0.01	High_AboveMedian	CD68.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	CD68.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	66	55,983	0.169	-2.57	144	0.47	0.90
Bcell.receptors.score	0.65	0.47, 0.90	0.011	0.549	0.01	0.01	0.01	0.01	0.01	0.01	High_AboveMedian	Bcell.receptors.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Bcell.receptors.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	64	55,334	0.169	-2.56	144	0.47	0.90
STAT1.19272155	0.65	0.47, 0.91	0.011	0.56	0.01	0.01	0.01	0.01	0.01	0.01	High_AboveMedian	STAT1.19272155.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	STAT1.19272155.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	66	55,078	0.169	-2.54	144	0.47	0.91
IFN.21978456	0.66	0.47, 0.91	0.012	0.558	0.01	0.01	0.01	0.01	0.01	0.01	High_AboveMedian	IFN.21978456.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	IFN.21978456.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	66	56,374	0.169	-2.50	144	0.47	0.91
CD8.CART.DOWN.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Chen.Nature	0.66	0.47, 0.91	0.013	0.559	0.01	0.01	0.01	0.01	0.01	0.01	High_AboveMedian	CD8.CART.DOWN.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Chen.Nature.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	CD8.CART.DOWN.inTumor.Cheng.34270940.Immunity.SuppleTableOf.Chen.Nature.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	67	56,885	0.169	-2.50	144	0.47	0.91
Tcell.receptors.score	0.66	0.47, 0.92	0.015	0.56	0.01	0.01	0.01	0.01	0.01	0.01	High_AboveMedian	Tcell.receptors.score.BIN	dichotomous	FALSE	level	FALSE	237	144	237	prop_hazard	HR	Tcell.receptors.score.BINHigh_AboveMedian	factor	2.00	contr.treatment	treatment	118	67	55,150	0.170	-2.43	144	0.47	0.92
